researcher_name,researcher_title,researcher_company,core_domain,research_cluster,linkedin_url,google_scholar,total_publications
Ganesh Jawahar,Research Scientist at Google DeepMind,Google DeepMind,"Ganesh Jawahar primarily focuses on natural language processing (NLP) with a specialization in improving distributed representations and embeddings for textual data, particularly in social media contexts like tweets.",Text Representation & NLP,https://www.linkedin.com/in/ganesh-jawahar-ab928435,https://scholar.google.com/scholar?q=Ganesh+Jawahar,6
Martin Maas,Senior Staff Research Scientist at Google DeepMind,Google DeepMind,"Martin Maas primarily focuses on the intersection of computer systems and AI, with a specialization in optimizing language runtime systems and garbage collection techniques for distributed and parallel computing environments.","""Systems Optimization & Distributed Computing""",https://www.linkedin.com/in/martinmaas,https://scholar.google.com/scholar?q=Martin+Maas,10
Kory W. Mathewson,Staff Research Scientist @ Google DeepMind | Generative AI and Creativity,Google DeepMind,"Kory W. Mathewson's primary research focus lies at the intersection of generative AI and creativity, with a strong emphasis on applying AI techniques to enhance and innovate within creative domains. His work spans the development of AI systems that can interact with and augment human creativity, particularly in the context of generative models and their applications.",Multimodal AI & Vision,https://www.linkedin.com/in/korymath,https://scholar.google.com/scholar?q=Kory+W.+Mathewson,8
Jai Gupta,Staff Research Scientist at Google Deepmind,Google DeepMind,"Jai Gupta's primary research focus is on optimization techniques and their applications in various domains, including geophysical data inversion and personalized search systems. His work spans the development of novel algorithms for problem-solving and data analysis.",Optimization Techniques & Geophysical Data Analysis,https://www.linkedin.com/in/jai-gupta-5ab04631,https://scholar.google.com/scholar?q=Jai+Gupta,5
Kalpesh Krishna,"Staff Research Scientist, Google DeepMind (GenAI, Gemini)",Google DeepMind,"Kalpesh Krishna primarily focuses on natural language processing (NLP) with a specialization in long-form question answering, unsupervised style transfer, and the security of language models. His work often explores the boundaries of language model capabilities and their applications in real-world scenarios.",LLM Training & Evaluation,https://www.linkedin.com/in/kalpesh-krishna-6b3827a6,https://scholar.google.com/scholar?q=Kalpesh+Krishna,10
Ruiqi Gao,Staff Research Scientist at GoogleDeepMind,Google DeepMind,"Ruiqi Gao's primary research focus is on probabilistic modeling, generative modeling, and representation learning, which involves developing models that can understand and generate complex data distributions and learn meaningful representations from data.","""Generative Modeling & Representation Learning""",https://www.linkedin.com/in/ruiqi-gao-056105150,,0
Zilong Wang,Research Scientist at Google DeepMind,Google DeepMind,"Zilong Wang's primary research focus is on enhancing the reasoning and planning capabilities of large language models (LLMs) through post-training and distillation techniques, as well as integrating multimodal data to improve performance on complex tasks involving diverse data types.",Multimodal AI & LLM Training,https://www.linkedin.com/in/zilong-ryan-wang-742436171,,0
Isaac Galatzer-Levy,Leader in mental health  technology development. Working at Google at the intersection of Ai and health sensors. xMeta Reality Labs,Google DeepMind,"Isaac Galatzer-Levy primarily focuses on the intersection of AI and mental health, specifically utilizing machine learning techniques to enhance the understanding and treatment of psychological disorders such as PTSD and psychosis.",Multimodal AI & Health Technology,https://www.linkedin.com/in/isaac-galatzer-levy,https://scholar.google.com/scholar?q=Isaac+Galatzer-Levy,10
Samuel Schmidgall,Research Scientist at Google DeepMind,Google DeepMind,"Samuel Schmidgall primarily focuses on the intersection of reinforcement learning and multimodal AI, with a particular emphasis on developing algorithms that enhance the capabilities of AI systems in complex, dynamic environments.",Reinforcement Learning & Multimodal AI,https://www.linkedin.com/in/samuel-schmidgall-288632162,https://scholar.google.com/citations?hl=en&amp;user=bQDooZEAAAAJ&amp;view_op=list_works&amp;sortby=pubdate,0
Jack Parker-Holder,Research Scientist at Google DeepMind,UCL,"Jack Parker-Holder primarily focuses on reinforcement learning, with a strong interest in designing systems capable of continuous learning and creativity, potentially contributing towards the development of artificial general intelligence (AGI).",Reinforcement Learning & Continuous Learning Systems,https://www.linkedin.com/in/jack-parker-holder-0bb66a29,https://scholar.google.com/scholar?q=Jack+Parker-Holder,1
Virginia Aglietti,Senior Research Scientist @ Google DeepMind,DeepMind,Virginia Aglietti's primary research focus is on integrating causality with large language models (LLMs) to enhance causal decision-making methodologies. Her work aims to improve the efficiency of decision-making processes and identify optimal actions through causal inference.,LLM Training & Causality,https://www.linkedin.com/in/virginia-aglietti-a80321a4,,0
Junhyuk Oh,Senior Staff Research Scientist at Google DeepMind,DeepMind,"Junhyuk Oh primarily focuses on reinforcement learning, with a specialization in developing algorithms that enhance the ability of AI systems to learn and generalize across multiple tasks and environments.",Reinforcement Learning & Robotics,https://www.linkedin.com/in/junhyuk-oh-6136b36b,https://scholar.google.com/scholar?q=Junhyuk+Oh,4
Jorrit Kruthoff,Reasoning | AGI @ Google DeepMind,Google DeepMind,"Jorrit Kruthoff primarily focuses on the theoretical and practical aspects of AI, particularly in the areas of interpretability and alignment of language models. His work involves reverse-engineering transformer networks and exploring the safety and alignment of language models.",LLM Training & Alignment,https://www.linkedin.com/in/jorrit-kruthoff-30a71688,https://scholar.google.com/scholar?q=Jorrit+Kruthoff,2
Lijun Yu,Gemini/Veo/NanoBanana @GDM | AI PhD @CMU | CS/Econ @PKU,Google DeepMind,"Lijun Yu primarily focuses on advancing AI systems through reinforcement learning and multimodal AI, with a particular emphasis on developing and optimizing complex AI models and systems at Google DeepMind.","""Reinforcement Learning & Multimodal AI""",https://www.linkedin.com/in/lijun-yu,https://scholar.google.com/scholar?q=Lijun+Yu,1
Yeongjin Jang,Research Scientist @ Google DeepMind | Eliminating GenAI/FrontierAI Cyberattack Misuse | Academic/Industry Cybersecurity Research | DARPA/ARPA-H AIxCC final winner (Team Atlanta) | DEF CON CTF winner | Black Hat speaker,Google DeepMind,"Yeongjin Jang's primary research focus is on leveraging advanced AI technologies to enhance cybersecurity, particularly in preventing the misuse of generative AI models in cyberattacks. His work involves developing tools and methodologies to address critical software vulnerabilities and ensure robust security systems.","""Cybersecurity & AI""",https://www.linkedin.com/in/yeongjin-jang-56878365,https://scholar.google.com/scholar?q=Yeongjin+Jang,10
Joshua Pan,Research Scientist,Google DeepMind,"Joshua Pan's primary research focus is on the intersection of machine learning, genetics, and biochemistry, aiming to develop systematic measures of gene function. His work involves leveraging AI techniques to enhance the understanding of genetic data and biochemical processes.","""Machine Learning & Genomics""",https://www.linkedin.com/in/joshuapan,https://scholar.google.com/citations?user=BbJE7xgAAAAJ&hl=en,0
Corentin Tallec,Research Scientist chez DeepMind,DeepMind,"Corentin Tallec primarily focuses on advancing the field of machine learning, with a particular emphasis on optimization techniques for neural networks and improving the training methodologies for recurrent neural networks (RNNs) and generative adversarial networks (GANs).",Recurrent Neural Networks & Optimization,https://www.linkedin.com/in/corentin-tallec-403398a2,https://scholar.google.com/scholar?q=Corentin+Tallec,4
Chi Wang,"Founder of AutoGen (Now AG2) | Senior Staff Research Scientist, Google DeepMind",Google DeepMind,"Chi Wang's primary research focus is on developing frameworks and methodologies for agentic AI and automated machine learning, with a strong emphasis on scalable solutions for data analytics, data science, and knowledge mining.",LLM Training & Alignment,https://www.linkedin.com/in/chi-wang-autogen,,0
Nataniel Ruiz,Senior Research Scientist at Google DeepMind,Google DeepMind,"Nataniel Ruiz primarily focuses on generative models for images and video, with a special emphasis on controllability, personalization, and innovative applications. His work aims to enhance the interaction between AI systems and users by making generative models more adaptable and user-centric.",Multimodal AI & Vision,https://www.linkedin.com/in/nataniel-ruiz,,0
Christopher Richardson,Research Scientist @ Google DeepMind,Google DeepMind,"Christopher Richardson's primary research focus is on natural language processing (NLP) and virtual assistant technology, aiming to enhance the intelligence, flexibility, interactivity, and immersiveness of virtual AI systems.",Natural Language Processing & Virtual Assistants,https://www.linkedin.com/in/christopher-richardson-b9690293,,0
